Date,"AAPL_('Close', 'AAPL')","AAPL_('High', 'AAPL')","AAPL_('Low', 'AAPL')","AAPL_('Open', 'AAPL')","AAPL_('Volume', 'AAPL')","MSFT_('Close', 'MSFT')","MSFT_('High', 'MSFT')","MSFT_('Low', 'MSFT')","MSFT_('Open', 'MSFT')","MSFT_('Volume', 'MSFT')","NVDA_('Close', 'NVDA')","NVDA_('High', 'NVDA')","NVDA_('Low', 'NVDA')","NVDA_('Open', 'NVDA')","NVDA_('Volume', 'NVDA')"
2015-01-02,24.261049270629883,24.729272337596463,23.82167345251905,24.71817633026032,212818400,39.933040618896484,40.49668051755397,39.745162824511745,39.847641917608115,27913900,0.4830383360385895,0.48663775266657,0.4753596187060886,0.4830383360385895,113680000
2015-01-05,23.577573776245117,24.110149898969926,23.391173064448488,24.030263395910563,257142000,39.565834045410156,39.907432198522,39.49751246013629,39.5999915802946,39673900,0.4748796820640564,0.48447807824539446,0.47272006080162515,0.4830383116668458,197952000
2015-01-06,23.579792022705078,23.83942229690088,23.218083238966898,23.64192558989593,263188400,38.9851188659668,39.92451798606721,38.891178302406175,39.608538755888404,36447900,0.4604822099208832,0.4760795599151433,0.46000229718060065,0.4755996471748608,197764000
2015-01-07,23.910430908203125,24.010288179106578,23.677428352078227,23.788381627754344,160423600,39.480430603027344,39.676850266793366,38.84847225138925,39.26693054357484,29114100,0.45928236842155457,0.4679209113153249,0.45784260173746155,0.4638415819121926,321808000
2015-01-08,24.82912254333496,24.886818717588337,24.121240141303762,24.23885202924671,237458000,40.641868591308594,40.77850848944481,39.8988893488024,39.924508311655394,29645200,0.4765593111515045,0.4794388438281316,0.4643213830920004,0.464561353683515,283780000
2015-01-09,24.855756759643555,25.13092044767605,24.456324234263423,25.00221422360769,214798000,40.3002815246582,40.83830273984657,40.05262386106649,40.65896342070155,23944200,0.4784790277481079,0.48207844387734894,0.47176016531584,0.47823908574308466,209540000
2015-01-12,24.24329376220703,24.99333738994218,24.14343647883557,24.98668046345246,198603200,39.79641342163086,40.599175803615054,39.591455170136825,40.49669342011537,23651900,0.47248002886772156,0.4799187742160899,0.468160758297875,0.4796788036156698,190732000
2015-01-13,24.458545684814453,25.031065118246495,24.16784858103106,24.727052467234984,268367600,39.59145736694336,40.91515727861193,39.33525790948377,40.1123981098378,35270600,0.47176021337509155,0.4856778522728836,0.468400796119421,0.47607948456480526,236720000
2015-01-14,24.365345001220703,24.51845940173482,24.076865748230265,24.196695513641078,195826400,39.249847412109375,39.48896967730058,38.95948722118245,39.249847412109375,29719600,0.47367987036705017,0.4751196368977261,0.46552126964092866,0.46672106554802834,155260000
2015-01-15,23.704063415527344,24.4230403397773,23.668559239188266,24.409726485276778,240056000,38.83993148803711,39.608533026210004,38.78015173037394,39.47189311472954,32750800,0.4703204929828644,0.47991886105014137,0.47008052233902514,0.4770393563510369,188932000
